CO2 Emissions(g/km),Engine_Size_log,Fuel_City_log,Fuel_Hwy_log,Fuel_Comb_log,Cylinders_3,Cylinders_4,Cylinders_5,Cylinders_6,Cylinders_8,Cylinders_10,Cylinders_12,Cylinders_16
172,0.9555114450274363,2.151762203259462,1.7749523509116738,2.0014800002101243,0,1,0,0,0,0,0,0
178,0.9555114450274363,2.174751721484161,1.824549292051046,2.028148247292285,0,1,0,0,0,0,0,0
199,0.9555114450274363,2.2512917986064958,1.9459101490553128,2.128231705849268,0,1,0,0,0,0,0,0
199,0.9555114450274363,2.2512917986064958,1.9600947840472696,2.128231705849268,0,1,0,0,0,0,0,0
256,1.3862943611198906,2.468099531471619,2.19722457733622,2.3513752571634776,0,0,0,1,0,0,0,0
260,1.3862943611198906,2.468099531471619,2.2407096892759584,2.3702437414678603,0,0,0,1,0,0,0,0
287,1.3862943611198906,2.5494451709255714,2.332143895,2.4595888418037104,0,0,0,1,0,0,0,0
287,1.3862943611198906,2.5494451709255714,2.332143895,2.4595888418037104,0,0,0,1,0,0,0,0
266,1.3862943611198906,2.501435951739211,2.2300144001592104,2.388762789235098,0,0,0,1,0,0,0,0
270,1.335001067,2.5494451709255714,2.186051276738094,2.4069451083182885,0,1,0,0,0,0,0,0
283,1.335001067,2.580216829592325,2.2407096892759584,2.4423470353692043,0,1,0,0,0,0,0,0
199,0.9555114450274363,2.2512917986064958,1.9459101490553128,2.128231705849268,0,1,0,0,0,0,0,0
199,0.9555114450274363,2.2512917986064958,1.9600947840472696,2.128231705849268,0,1,0,0,0,0,0,0
218,1.0986122886681098,2.2925347571405443,2.1041341542702074,2.2082744135228043,0,1,0,0,0,0,0,0
186,1.0986122886681098,2.174751721484161,1.916922612182061,2.066862759472976,0,1,0,0,0,0,0,0
186,1.0986122886681098,2.174751721484161,1.916922612182061,2.066862759472976,0,1,0,0,0,0,0,0
268,1.3862943611198906,2.501435951739211,2.2512917986064958,2.3978952727983707,0,0,0,1,0,0,0,0
279,1.3862943611198906,2.509599262378372,2.322387720290225,2.4336133554004498,0,0,0,1,0,0,0,0
256,1.3862943611198906,2.4595888418037104,2.2300144001592104,2.360854001118021,0,0,0,1,0,0,0,0
256,1.3862943611198906,2.4595888418037104,2.2300144001592104,2.360854001118021,0,0,0,1,0,0,0,0
229,1.0986122886681098,2.322387720290225,2.174751721484161,2.2512917986064958,0,1,0,0,0,0,0,0
227,1.1631508098056809,2.2925347571405443,2.186051276738094,2.2407096892759584,0,1,0,0,0,0,0,0
278,1.3862943611198906,2.5494451709255714,2.26176309847379,2.4336133554004498,0,0,0,1,0,0,0,0
289,1.3862943611198906,2.5877640352277083,2.2823823856765264,2.468099531471619,0,0,0,1,0,0,0,0
270,1.335001067,2.5494451709255714,2.186051276738094,2.4069451083182885,0,1,0,0,0,0,0,0
284,1.335001067,2.5877640352277083,2.2512917986064958,2.451005098112319,0,1,0,0,0,0,0,0
326,1.335001067,2.660259537265861,2.451005098112319,2.5726122302071057,0,1,0,0,0,0,0,0
238,1.3862943611198906,2.4159137783010487,2.1041341542702074,2.2925347571405443,0,0,0,1,0,0,0,0
252,1.3862943611198906,2.4336133554004498,2.19722457733622,2.341805806147327,0,0,0,1,0,0,0,0
264,1.3862943611198906,2.4932054526026954,2.2300144001592104,2.379546134130174,0,0,0,1,0,0,0,0
264,1.3862943611198906,2.4932054526026954,2.2300144001592104,2.379546134130174,0,0,0,1,0,0,0,0
290,1.3862943611198906,2.5572273113676265,2.341805806147327,2.468099531471619,0,0,0,1,0,0,0,0
270,1.3862943611198906,2.509599262378372,2.2512917986064958,2.3978952727983707,0,0,0,1,0,0,0,0
270,1.335001067,2.5494451709255714,2.186051276738094,2.4069451083182885,0,1,0,0,0,0,0,0
284,1.335001067,2.5877640352277083,2.2512917986064958,2.451005098112319,0,1,0,0,0,0,0,0
245,1.3862943611198906,2.4159137783010487,2.174751721484161,2.312535423847214,0,0,0,1,0,0,0,0
265,1.3862943611198906,2.4423470353692043,2.312535423847214,2.388762789235098,0,0,0,1,0,0,0,0
265,1.3862943611198906,2.4423470353692043,2.312535423847214,2.388762789235098,0,0,0,1,0,0,0,0
255,1.3862943611198906,2.451005098112319,2.2082744135228043,2.3513752571634776,0,0,0,1,0,0,0,0
279,1.3862943611198906,2.509599262378372,2.322387720290225,2.4336133554004498,0,0,0,1,0,0,0,0
256,1.3862943611198906,2.4595888418037104,2.2300144001592104,2.360854001118021,0,0,0,1,0,0,0,0
256,1.3862943611198906,2.4595888418037104,2.2300144001592104,2.360854001118021,0,0,0,1,0,0,0,0
243,1.3862943611198906,2.4423470353692043,2.1162555148025524,2.302585092994046,0,0,0,1,0,0,0,0
260,1.3862943611198906,2.4932054526026954,2.19722457733622,2.3702437414678603,0,0,0,1,0,0,0,0
